n,scenario,comparisons,time
39000,middle,15,1.2e-07
39000,end,16,1.1e-07
39000,missing,15,1.1e-07
39000,random,14.32,1.808e-07
40000,begin,15,9e-08
40000,middle,15,1.1e-07
40000,end,16,1.2e-07
40000,missing,15,1.1e-07
40000,random,14.34,1.7972e-07
41000,begin,15,1.1e-07
41000,middle,15,5.71e-07
41000,end,16,1.9e-07
41000,missing,15,1.3e-07
41000,random,14.5,1.926e-07
42000,begin,15,9e-08
42000,middle,15,1.51e-07
42000,end,16,1.21e-07
42000,missing,15,1.2e-07
42000,random,14.5,2.8304e-07
43000,begin,15,8e-08
43000,middle,15,1.2e-07
43000,end,16,1.1e-07
43000,missing,15,1.2e-07
43000,random,14.84,1.8562e-07
44000,begin,15,9.1e-08
44000,middle,15,9e-08
44000,end,16,1.1e-07
44000,missing,15,1.1e-07
44000,random,14.28,1.8134e-07
45000,begin,15,9.1e-08
45000,middle,15,1.2e-07
45000,end,16,1e-07
45000,missing,15,1.2e-07
45000,random,14.1,1.8284e-07
46000,begin,15,9.1e-08
46000,middle,15,1.3e-07
46000,end,16,1e-07
46000,missing,15,1.3e-07
46000,random,14.7,1.8386e-07
47000,begin,15,9.1e-08
47000,middle,15,1.1e-07
47000,end,16,1.1e-07
47000,missing,15,1.2e-07
47000,random,14.7,1.8782e-07
48000,begin,15,9.1e-08
48000,middle,15,1.2e-07
48000,end,16,1.11e-07
48000,missing,15,1.1e-07
48000,random,14.26,1.869e-07
49000,begin,15,8e-08
49000,middle,15,1.1e-07
49000,end,16,1.11e-07
49000,missing,15,1.2e-07
49000,random,14.5,1.9206e-07
50000,begin,15,2e-07
50000,middle,15,6.01e-07
50000,end,16,1.8e-07
50000,missing,15,1.2e-07
50000,random,14.9,3.1742e-07
51000,begin,15,1.1e-07
51000,middle,15,1.71e-07
51000,end,16,1.2e-07
51000,missing,15,1.1e-07
51000,random,14.52,1.8758e-07
52000,begin,15,9e-08
52000,middle,15,1.61e-07
52000,end,16,1.2e-07
52000,missing,15,1.2e-07
52000,random,14.8,1.9182e-07
53000,begin,15,9e-08
53000,middle,15,1.31e-07
53000,end,16,1.3e-07
53000,missing,15,1.1e-07
53000,random,14.46,1.8094e-07
54000,begin,15,9e-08
54000,middle,15,1.2e-07
54000,end,16,1.1e-07
54000,missing,15,1.2e-07
54000,random,14.94,2.4122e-07
55000,begin,15,9.1e-08
55000,middle,15,1.2e-07
55000,end,16,8.62e-07
55000,missing,15,5.11e-07
55000,random,14.66,1.9986e-07
56000,begin,15,9e-08
56000,middle,15,1.11e-07
56000,end,16,1.1e-07
56000,missing,15,1.1e-07
56000,random,14.8,1.8654e-07
57000,begin,15,6.91e-07
57000,middle,15,1.2e-07
57000,end,16,1.21e-07
57000,missing,15,1.11e-07
57000,random,15.1,2.0312e-07
58000,begin,15,1.1e-07
58000,middle,15,1.1e-07
58000,end,16,1.1e-07
58000,missing,15,1.1e-07
58000,random,14.32,1.8942e-07
59000,begin,15,9.1e-08
59000,middle,15,1e-07
59000,end,16,1.183e-06
59000,missing,15,1.1e-07
59000,random,14.84,1.9836e-07
60000,begin,15,1e-07
60000,middle,15,1e-07
60000,end,16,1.1e-07
60000,missing,15,1.1e-07
60000,random,14.98,2.5798e-07
61000,begin,15,1e-07
61000,middle,15,1.01e-07
61000,end,16,1.2e-07
61000,missing,15,1.3e-07
61000,random,14.94,1.874e-07
62000,begin,15,9e-08
62000,middle,15,1.31e-07
62000,end,16,1.2e-07
62000,missing,15,1.1e-07
62000,random,14.94,1.9984e-07
63000,begin,15,1.01e-07
63000,middle,15,1.21e-07
63000,end,16,1.1e-07
63000,missing,15,1.2e-07
63000,random,15.1,3.3332e-07
64000,begin,15,1.1e-07
64000,middle,15,3.6e-07
64000,end,16,1e-07
64000,missing,15,1.1e-07
64000,random,15.3,2.3746e-07
65000,begin,15,1e-07
65000,middle,15,1.2e-07
65000,end,16,1.2e-07
65000,missing,15,1.1e-07
