n,k,comparisons,swaps
300,1,788,628
300,1,737,568
300,150,740,566
300,150,863,672
300,150,789,628
300,150,864,698
300,150,450,349
300,150,910,752
300,150,830,651
300,150,782,610
300,150,832,659
300,150,870,693
300,150,869,704
300,150,851,687
300,150,886,709
300,150,763,594
300,150,826,646
300,150,788,614
300,150,828,665
300,150,843,697
300,150,863,688
300,150,868,714
300,150,781,613
300,150,848,670
300,150,802,637
300,150,773,600
300,150,890,721
300,150,436,326
300,150,853,688
300,150,834,667
300,150,816,656
300,150,861,689
300,150,440,340
300,150,443,346
300,150,831,682
300,150,739,584
300,150,877,701
300,150,804,638
300,150,773,602
300,150,807,644
300,150,795,618
300,150,866,683
300,150,770,598
300,150,437,338
300,150,862,692
300,150,871,709
300,150,783,620
300,150,446,348
300,150,877,700
300,150,894,723
300,150,837,678
300,150,829,656
300,300,783,635
300,300,798,628
300,300,806,657
300,300,786,627
300,300,803,650
300,300,811,652
300,300,725,575
300,300,823,650
300,300,826,673
300,300,875,695
300,300,775,613
300,300,836,651
300,300,738,577
300,300,780,618
300,300,820,686
300,300,825,677
300,300,784,616
300,300,791,659
300,300,849,671
300,300,837,691
300,300,764,604
300,300,841,653
300,300,808,665
300,300,823,663
300,300,882,708
300,300,816,656
300,300,806,646
300,300,805,652
300,300,738,609
300,300,848,665
300,300,821,647
300,300,777,636
300,300,813,646
300,300,763,617
300,300,807,659
300,300,814,663
300,300,777,614
300,300,765,609
300,300,814,650
300,300,855,708
300,300,801,651
300,300,876,694
300,300,814,653
300,300,879,690
300,300,851,687
300,300,791,646
300,300,794,601
300,300,864,682
300,300,779,604
300,300,804,649
400,1,1103,846
400,1,1104,869
400,1,1058,803
400,1,1145,892
400,1,1114,865
400,1,1011,780
400,1,1127,890
400,1,1021,775
400,1,1162,914
400,1,1156,921
400,1,1073,841
400,1,1087,832
400,1,1108,843
400,1,1154,908
400,1,1176,940
400,1,1116,868
400,1,1120,886
400,1,1004,765
400,1,1115,875
400,1,1120,874
400,1,1127,874
400,1,1003,766
400,1,1082,838
400,1,1127,885
400,1,1056,806
400,1,1095,853
400,1,987,738
400,1,1153,923
400,1,1047,823
400,1,1103,866
400,1,1114,862
400,1,1048,802
400,1,1027,794
400,1,1128,884
400,1,1137,876
400,1,1005,756
400,1,1162,923
400,1,1067,809
400,1,1157,919
400,1,1001,752
400,1,1117,886
400,1,1074,817
400,1,1063,801
400,1,1158,917
400,1,1123,869
400,1,1103,850
400,1,1119,874
400,1,1124,887
400,1,1059,823
400,1,1134,890
400,200,1159,912
400,200,1060,806
400,200,1152,896
400,200,1177,942
400,200,602,455
400,200,1132,878
400,200,1064,818
400,200,1018,751
400,200,1041,799
400,200,1136,890
400,200,1159,889
400,200,1047,816
400,200,1198,940
400,200,1228,957
400,200,1091,839
400,200,1126,906
400,200,586,446
400,200,1134,881
400,200,1107,893
