n,algorithm,comparisons,time
7100,DualRandom,61699.3,0.000286954
7100,DualSelect,100941,0.0023329
7200,DualRandom,62953.1,0.000302097
7200,DualSelect,102563,0.00238442
7300,DualRandom,64116.3,0.00030662
7300,DualSelect,104153,0.0024608
7400,DualRandom,65152,0.000307708
7400,DualSelect,105750,0.00289582
7500,DualRandom,65415.6,0.00035541
7500,DualSelect,107352,0.00251389
7600,DualRandom,66495.3,0.000311629
7600,DualSelect,108966,0.00253552
7700,DualRandom,67929.3,0.00032409
7700,DualSelect,110551,0.00255964
7800,DualRandom,68483.4,0.000768528
7800,DualSelect,112172,0.00265127
7900,DualRandom,69418.9,0.00032725
7900,DualSelect,113797,0.00261376
8000,DualRandom,71353.2,0.00033315
8000,DualSelect,115381,0.0026719
8100,DualRandom,72169.2,0.000338719
8100,DualSelect,117024,0.00309621
8200,DualRandom,72571,0.000343615
8200,DualSelect,118633,0.00273313
8300,DualRandom,74190.1,0.000339371
8300,DualSelect,120265,0.00275625
8400,DualRandom,74395.3,0.000349512
8400,DualSelect,121870,0.00325
8500,DualRandom,76353.8,0.000360688
8500,DualSelect,123494,0.00288456
8600,DualRandom,77014,0.00036452
8600,DualSelect,125145,0.00290758
8700,DualRandom,78031.7,0.000372532
8700,DualSelect,126757,0.00336508
8800,DualRandom,79076.5,0.000376819
8800,DualSelect,128369,0.00297116
8900,DualRandom,79723.8,0.000377615
8900,DualSelect,130014,0.00299594
9000,DualRandom,80478.5,0.000380033
9000,DualSelect,131595,0.00349294
9100,DualRandom,81937.7,0.000385951
9100,DualSelect,133256,0.00305331
9200,DualRandom,83862.3,0.000391598
9200,DualSelect,134895,0.00316348
9300,DualRandom,84062.9,0.000693014
9300,DualSelect,136501,0.00339134
9400,DualRandom,85061.8,0.000409094
9400,DualSelect,138138,0.00360805
9500,DualRandom,85872.5,0.000412265
9500,DualSelect,139759,0.00329607
9600,DualRandom,86713.7,0.000417298
9600,DualSelect,141420,0.00330063
9700,DualRandom,87878.8,0.000414268
9700,DualSelect,143009,0.00330447
9800,DualRandom,88752.2,0.000420345
9800,DualSelect,144638,0.0038222
9900,DualRandom,90713.8,0.000423352
9900,DualSelect,146260,0.00334677
10000,DualRandom,90193,0.000431111
10000,DualSelect,147930,0.00339982
