n,avg_comp,avg_ptr,avg_height,max_comp,max_ptr,max_height
10000,19.3333,16.2739,27.1545,51,38,34
20000,21.385,17.8722,30.981,62,45,42
30000,21.9154,18.4171,31.9129,63,43,40
40000,22.5312,18.8066,32.9886,60,44,41
50000,23.153,19.3246,33.3546,67,45,45
60000,23.5253,19.6309,34.4181,68,50,44
70000,23.8363,19.9046,34.5508,63,51,41
80000,24.4478,20.4802,35.7746,64,48,45
90000,24.4878,20.4152,35.3938,66,46,44
100000,24.7347,20.6777,35.963,66,46,46
