n,avg_comp,avg_ptr,avg_height,max_comp,max_ptr,max_height
10000,14.0516,17.5935,14.6755,37,48,17
20000,15.0853,18.6247,15.9325,37,48,18
30000,15.6846,19.2233,16.6966,41,48,18
40000,16.1035,19.638,17.1849,41,50,19
50000,16.4133,19.9476,17.5308,41,50,19
60000,16.696,20.2371,17.932,41,52,20
70000,16.9131,20.4517,18.0141,41,51,20
80000,17.1264,20.6678,18.4489,42,51,20
90000,17.2901,20.8328,18.5983,44,56,20
100000,17.4482,20.9884,18.7653,41,51,21
