n,avg_comp,avg_ptr,avg_height,max_comp,max_ptr,max_height
10000,19.9569,22.9706,17.7525,51,44,24
20000,21.4605,24.473,19.2551,53,45,26
30000,22.3078,25.3119,20.0541,55,46,27
40000,22.9622,25.9703,20.8867,57,49,28
50000,23.4256,26.4352,21.2572,62,52,29
60000,23.8106,26.8145,21.6298,61,48,29
70000,24.15,27.152,22.0979,60,49,30
80000,24.4629,27.4661,22.3966,63,51,30
90000,24.7156,27.7171,22.6112,63,49,30
100000,24.9302,27.9364,22.8577,65,50,31
