run,comparisons,swaps
1,702409,1534928
2,702165,1534928
3,702259,1534928
4,702248,1534928
5,702485,1534928
6,702206,1534928
7,702241,1534928
8,702233,1534928
9,702296,1534928
10,702346,1534928
