run,comparisons,swaps
1,611291,1289226
2,611248,1289472
3,612159,1290626
4,611630,1290150
5,611631,1290194
6,611486,1289860
7,611465,1289796
8,611073,1289170
9,611067,1289286
10,611769,1289788
