run,comparisons,swaps
1,469013,1024928
2,469029,1024928
3,468763,1024928
4,468967,1024928
5,469023,1024928
6,469126,1024928
7,469080,1024928
8,469040,1024928
9,469141,1024928
10,469087,1024928
