run,comparisons,swaps
1,1225692,864303
2,1248860,873962
3,1264616,832713
4,1221665,836622
5,1295297,904953
6,1249016,830770
7,1239388,873272
8,1340529,886652
9,1229658,875473
10,1311658,897178
