n,avg_comp,avg_ptr,avg_height,max_comp,max_ptr,max_height
10000,17.4068,64.766,15.9776,79,301,49
20000,18.7569,70.4973,17.4399,85,326,52
30000,19.7255,73.951,18.3838,91,349,53
40000,20.1649,76.2678,18.86,99,372,55
50000,20.6282,78.1292,19.5089,96,372,58
60000,21.019,79.6398,19.8509,100,374,57
70000,21.3044,80.9085,20.1416,99,381,60
80000,21.7382,82.159,20.6136,98,393,62
90000,22.0101,83.0984,20.795,101,402,59
100000,22.054,83.8871,20.9519,106,413,61
